"Paper","Total Citations","TC per Year"
"EL-LATIF AAA, 2018, IEEE ACCESS","22","7.3333"
"STONE JE, 2016, PARALLEL COMPUT","22","4.4000"
"WEI SJ, 2016, QUANTUM INF PROCESS","22","4.4000"
"COULAMY IB, 2016, FRONT ICT","22","4.4000"
"KUBLER S, 2015, PERVASIVE MOB COMPUT","22","3.6667"
"SCHAICH D, 2015, COMPUT PHYS COMMUN","22","3.6667"
"HORVTH I, 2015, CAD COMPUT AIDED DES","22","3.6667"
"FAHEEM M, 2014, J CHEM THEORY COMPUT","22","3.1429"
"LIN CC, 2014, ACM J EMERG TECHNOLOGIES COMPUT SYST","22","3.1429"
"JORISSEN K, 2012, COMPUT PHYS COMMUN","22","2.4444"
"MATSUURA A, 2012, COMPUT SCI ENG","22","2.4444"
"GAO H, 2011, INF TECHNOL J","22","2.2000"
"MANUALI C, 2011, FUTURE GENER COMPUT SYST","22","2.2000"
"AKERKAR R, 2009, INT J BIO-INSPIRED COMPUT","22","1.8333"
"PANELLA M, 2009, IEEE TRANS FUZZY SYST","22","1.8333"
"TALMAN JD, 2009, COMPUT PHYS COMMUN","22","1.8333"
"KHAN MHA, 2008, J SYST ARCHIT","22","1.6923"
"SELINGER P, 2008, ELECTRON NOTES THEOR COMPUT SCI","22","1.6923"
"KHAN FS, 2006, THEOR COMPUT SCI","22","1.4667"
"VIZZOTTO J, 2006, MATH STRUCT COMPUT SCI","22","1.4667"
"VAN ENK SJ, 2004, QUANTUM INF PROCESS","22","1.2941"
"MORRILL JA, 2004, J CHEM INF COMPUT SCI","22","1.2941"
"GUSEINOV I, 2003, J MOL MODEL-a","22","1.2222"
"BAIKOV PA, 1998, COMPUT PHYS COMMUN","22","0.9565"
"BERRY DW, 2018, NPJ QUANTUM INF","21","7.0000"
"JOZSA R, 2014, QUANTUM INF COMPUT","21","3.0000"
"SCARANI V, 2014, THEOR COMPUT SCI","21","3.0000"
"BOTSINIS P, 2014, IEEE ACCESS","21","3.0000"
"FAGINAS-LAGO N, 2014, J MOL MODEL","21","3.0000"
"FUSS IG, 2013, TOP COGNITIVE SCI","21","2.6250"
"TOYAMA FM, 2013, QUANTUM INF PROCESS","21","2.6250"
"HAYATI M, 2012, ETRI J","21","2.3333"
"MOCICKI JT, 2010, COMPUT PHYS COMMUN","21","1.9091"
"HWANG FN, 2010, J COMPUT PHYS","21","1.9091"
"FAYET G, 2010, J MOL GRAPH MODEL","21","1.9091"
"DYSART TJ, 2009, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","21","1.7500"
"KUBE S, 2009, J COMPUT PHYS","21","1.7500"
"DUAK M, 2007, J MOL MODEL","21","1.5000"
"VOSS H, 2006, J COMPUT PHYS","21","1.4000"
"QIU D, 2005, J COMPUT SYST SCI","21","1.3125"
"KIEU TD, 2002, MINDS MACH","21","1.1053"
"D'ALESSANDRO D, 2002, IEEE TRANS AUTOM CONTROL","21","1.1053"
"ALEMN C, 1992, J COMPUTER-AIDED MOL DES","21","0.7241"
"ELMOUGY S, 2017, J CLOUD COMPUT","20","5.0000"
"ZHAO Y, 2017, IEEE ACCESS","20","5.0000"
"ABDULLAH-AL-SHAFI M, 2016, COGENT ENG","20","4.0000"
"DATTA K, 2015, IEEE TRANS COMPUT","20","3.3333"
"MORIMAE T, 2015, QUANTUM INF COMPUT","20","3.3333"
"SCHLEIFE A, 2014, COMPUT SCI ENG","20","2.8571"
"YING M, 2013, SCI COMPUT PROGRAM","20","2.5000"
"HE XF, 2013, XITONG GONGCHENG LILUM YU SHIJIAN","20","2.5000"
"GOU S, 2013, NEUROCOMPUTING","20","2.5000"
"PAETZNICK A, 2012, QUANTUM INF COMPUT","20","2.2222"
"VAN METER R, 2011, PROG INFORMATICS","20","2.0000"
"TU MWY, 2009, QUANTUM INF PROCESS","20","1.6667"
"LI Z, 2009, COMPUT MATH APPL","20","1.6667"
"STREED EW, 2009, QUANTUM INF COMPUT","20","1.6667"
"KHAN MHA, 2008, J SYST ARCHIT-a","20","1.5385"
"SHAFEE F, 2007, ENG APPL ARTIF INTELL","20","1.4286"
"KORMAN A, 2007, INF COMPUT","20","1.4286"
"WEBER KC, 2006, J MOL MODEL","20","1.3333"
"SVORE KM, 2006, QUANTUM INF COMPUT","20","1.3333"
"SHARMA P, 2004, IEEE TRANS NANOBIOSCI","20","1.1765"
"NISHIMURA H, 2002, THEOR COMPUT SCI","20","1.0526"
"AUFRICHTIG R, 2001, PROC SPIE INT SOC OPT ENG","20","1.0000"
"NAWAZ SJ, 2019, IEEE ACCESS","19","9.5000"
"ZULEHNER A, 2018, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST","19","6.3333"
"LIU J, 2017, J CHEM THEORY COMPUT","19","4.7500"
"GORBENKO I, 2017, EAST -EUR J ENTERP TECHNOL","19","4.7500"
"BIAN Z, 2016, FRONT ICT","19","3.8000"
"HUANG L, 2015, COMPUT PHYS COMMUN","19","3.1667"
"STEFFEN M, 2011, IBM J RES DEV","19","1.9000"
"SCHIFFMANN C, 2011, J CHEM THEORY COMPUT","19","1.9000"
"CILARDO A, 2011, IEEE TRANS COMPUT","19","1.9000"
"NICHOLLS A, 2010, J COMP -AIDED MOL DES","19","1.7273"
"STRICKLAND M, 2010, J COMPUT PHYS","19","1.7273"
"TABAKIN F, 2009, COMPUT PHYS COMMUN","19","1.5833"
"TINKER RF, 2008, COMPUT SCI ENG","19","1.4615"
"LEIBRANDT D, 2007, QUANTUM INF COMPUT","19","1.3571"
"JANZING D, 2005, QUANTUM INF PROCESS","19","1.1875"
"HENNEMANN M, 2002, J MOL MODEL","19","1.0000"
"KNILL E, 2001, INF PROCESS LETT","19","0.9500"
"CHEB-TERRAB ES, 1996, COMPUT PHYS COMMUN","19","0.7600"
"SCHEMPP W, 1992, J MATH IMAGING VIS","19","0.6552"
"YAN F, 2018, THEOR COMPUT SCI","18","6.0000"
"DING W, 2018, NEUROCOMPUTING","18","6.0000"
"DAS JC, 2017, NANO COMMUN NETW","18","4.5000"
"DEY S, 2017, APPL SOFT COMPUT J","18","4.5000"
"MOZAFFARI-KERMANI M, 2016, ACM TRANS EMBEDDED COMPUT SYST","18","3.6000"
"ALFAILAKAWI MG, 2016, EXPERT SYS APPL","18","3.6000"
"LEE JS, 2016, INT J MULTIMEDIA UBIQUITOUS ENG","18","3.6000"
"PATVARDHAN C, 2015, MEMETIC COMPUT","18","3.0000"
"LIU B, 2014, NEUROCOMPUTING","18","2.5714"
"LIN CC, 2013, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","18","2.2500"
"JOHNSTON N, 2009, QUANTUM INF COMPUT","18","1.5000"
"SELINGER P, 2008, ELECTRON NOTES THEOR COMPUT SCI-a","18","1.3846"
"JIANG TS, 2008, COMPUT PHYS COMMUN","18","1.3846"
"SCHWARTZ M, 2008, IEEE TRANS INF THEORY","18","1.3846"
"BUHRMAN H, 2007, SIAM J COMPUT","18","1.2857"
"HEUVELINE V, 2003, J COMPUT PHYS","18","1.0000"
"D'ALESSANDRO D, 2000, SYST CONTROL LETT","18","0.8571"
"MONTAGNA G, 1996, COMPUT PHYS COMMUN-a","18","0.7200"
"RYABINKIN IG, 2018, J CHEM THEORY COMPUT","17","5.6667"
"KOUNALAKIS M, 2018, NPJ QUANTUM INF","17","5.6667"
"GREENE SM, 2017, J CHEM THEORY COMPUT","17","4.2500"
"HIKIRI S, 2016, J CHEM THEORY COMPUT","17","3.4000"
"BENEKE M, 2016, COMPUT PHYS COMMUN","17","3.4000"
"CHEN S, 2016, IEEE TRANS PARALLEL DISTRIB SYST","17","3.4000"
"LEE LP, 2014, J CHEM THEORY COMPUT","17","2.4286"
"ZHANG G, 2014, INT J COMPUT COMMUN CONTROL","17","2.4286"
"LIANG M, 2013, QUANTUM INF PROCESS","17","2.1250"
"PRAKASH S, 2013, J SUPERCOMPUT","17","2.1250"
"YAN F, 2013, INT J INNOVATIVE COMPUT APPL","17","2.1250"
"COECKE B, 2012, LOG METHODS COMP SCI","17","1.8889"
"CHOI BS, 2012, ACM J EMERG TECHNOLOGIES COMPUT SYST","17","1.8889"
"PERSHIN YV, 2012, IEEE CIRCUITS SYST MAG","17","1.8889"
"RINKEVICIUS Z, 2012, J CHEM THEORY COMPUT","17","1.8889"
"ANDERSON NG, 2010, THEOR COMPUT SCI","17","1.5455"
"TANI S, 2009, THEOR COMPUT SCI","17","1.4167"
"GROE D, 2009, IEEE TRANS COMPUT AIDED DES INTEGR CIRCUITS SYST-a","17","1.4167"
"LAPLANTE S, 2008, SIAM J COMPUT","17","1.3077"
"AARONSON S, 2008, J COMPUT SYST SCI","17","1.3077"
"SEN P, 2008, J COMPUT SYST SCI","17","1.3077"
"KHRENNIKOV A, 2007, QUANTUM INF PROCESS","17","1.2143"
"CSABA G, 2007, INT J CIRCUIT THEORY APPL","17","1.2143"
"MEREGHETTI C, 2006, RAIRO THEOR INF APPL","17","1.1333"
"STEANE AM, 2002, QUANTUM INF COMPUT","17","0.8947"
"MEREGHETTI C, 2002, THEOR INF APPL","17","0.8947"
"GANSTERER WN, 2002, ACM TRANS MATH SOFTWARE","17","0.8947"
"JASCHKE D, 2018, COMPUT PHYS COMMUN","16","5.3333"
"PARAH SA, 2017, J GLOBAL INF MANAGE","16","4.0000"
"PIRILLO J, 2017, J CHEM INF MODEL","16","4.0000"
"WRIGHT J, 2017, INTEGR COMPUT AIDED ENG","16","4.0000"
"WIEBE N, 2016, QUANTUM INF COMPUT","16","3.2000"
"BOTSINIS P, 2016, IEEE ACCESS","16","3.2000"
"GANJEFAR S, 2015, NEURAL NETW","16","2.6667"
"ALANIS D, 2015, IEEE ACCESS","16","2.6667"
"SUMOWSKI CV, 2014, J CHEM THEORY COMPUT","16","2.2857"
"ZHENG S, 2013, THEOR COMPUT SCI","16","2.0000"
"ROUSSEL TJ, 2013, J CHEM THEORY COMPUT","16","2.0000"
"SHUAI X, 2012, INT J SEMANT WEB INF SYST","16","1.7778"
"MUKHOPADHYAY D, 2012, ADV SCI LETT","16","1.7778"
"TANI S, 2012, ACM TRANS COMPUT THEORY","16","1.7778"
"JI HF, 2010, INT J MOL SCI","16","1.4545"
"ROWELL EC, 2010, QUANTUM INF COMPUT","16","1.4545"
"ILI A, 2010, COMPUT MATH APPL","16","1.4545"
"KASHEFI E, 2009, ELECTRON NOTES THEOR COMPUT SCI","16","1.3333"
"THOMSEN MK, 2009, PARALLEL PROCESS LETT","16","1.3333"
"DELLA MORTE M, 2009, COMPUT PHYS COMMUN-a","16","1.3333"
"SUAREZ J, 2009, COMPUT PHYS COMMUN","16","1.3333"
"CHEN H, 2009, IEEE TRANS PARALLEL DISTRIB SYST","16","1.3333"
"TO AC, 2008, COMPUT MECH","16","1.2308"
"SCHULMAN LJ, 2007, SIAM J COMPUT","16","1.1429"
"PARK JY, 2006, CMES COMPUT MODEL ENG SCI","16","1.0667"
"ZULIANI P, 2005, ACTA INFORM","16","1.0000"
"RAVICHANDRAN R, 2005, INTEGR VLSI J","16","1.0000"
"GAVINSKY D, 2004, QUANTUM INF COMPUT","16","0.9412"
"LESYNG B, 2003, J PARALLEL DISTRIB COMPUT","16","0.8889"
"JESSEN PS, 2001, QUANTUM INF COMPUT","16","0.8000"
"DIVINCENZO DP, 2001, QUANTUM INF COMPUT","16","0.8000"
"KAK S, 2000, INF SCI","16","0.7619"
"LUSTH JC, 1999, INF SCI","16","0.7273"
"PAWLEY GS, 1985, COMPUT PHYS COMMUN","16","0.4444"
"DONGARRA JJ, 1984, J COMPUT PHYS","16","0.4324"
"GUO YN, 2018, NEURAL COMPUT APPL","15","5.0000"
"YUAN H, 2017, NPJ QUANTUM INF","15","3.7500"
"LI Z, 2017, J CHEM THEORY COMPUT","15","3.7500"
"LYONNET F, 2017, COMPUT PHYS COMMUN","15","3.7500"
"BRITT KA, 2017, ACM J EMERG TECHNOLOGIES COMPUT SYST","15","3.7500"
"JAYASHREE HV, 2016, J SUPERCOMPUT","15","3.0000"
"WILLE R, 2016, INTEGR VLSI J","15","3.0000"
"SOLIMAN MM, 2016, NEURAL COMPUT APPL","15","3.0000"
"MONTANARO A, 2016, THEORY COMPUT","15","3.0000"
"KLIUCHNIKOV V, 2016, IEEE TRANS COMPUT","15","3.0000"
"MALDONADO-TRAPP A, 2015, QUANTUM INF PROCESS","15","2.5000"
"DING W, 2015, INF SCI","15","2.5000"
"KHAN MHA, 2014, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","15","2.1429"
"LIN CC, 2014, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","15","2.1429"
"SOMMA RD, 2013, SIAM J COMPUT","15","1.8750"
"DZIUBAK T, 2012, COMPUT PHYS COMMUN","15","1.6667"
"AKBAR J, 2012, INT J MOL SCI","15","1.6667"
"LAM CC, 2011, COMPUT LANG SYST STRUCT","15","1.5000"
"JOHNSTON N, 2011, QUANTUM INF COMPUT","15","1.5000"
"CHEN W, 2010, J THEOR COMPUT CHEM","15","1.3636"
"DIXON L, 2009, ANN MATH ARTIF INTELL","15","1.2500"
"YING M, 2009, IEEE TRANS COMPUT","15","1.2500"
"COECKE B, 2008, ELECTRON NOTES THEOR COMPUT SCI","15","1.1538"
"DEVITT SJ, 2007, QUANTUM INF PROCESS","15","1.0714"
"KENDON VM, 2006, QUANTUM INF COMPUT","15","1.0000"
"LI L, 2006, THEOR COMPUT SCI","15","1.0000"
"BERTONI A, 2006, THEOR COMPUT SCI","15","1.0000"
"PELLEGRINI E, 2003, J COMP -AIDED MOL DES","15","0.8333"
"SONG G, 2003, QUANTUM INF COMPUT","15","0.8333"
"ZIDAN M, 2019, APPL SCI","14","7.0000"
"LEE J, 2019, J CHEM THEORY COMPUT","14","7.0000"
"AGUADO A, 2018, J OF OPT COMM AND NETW","14","4.6667"
"LI HS, 2018, IEEE ACCESS","14","4.6667"
"MOTTA M, 2017, J CHEM THEORY COMPUT","14","3.5000"
"DEAN TR, 2017, IEEE TRANS INF THEORY","14","3.5000"
"MCNABB L, 2017, COMPUT GRAPHICS FORUM","14","3.5000"
"ROBSON B, 2015, COMPUT BIOL MED","14","2.3333"
"BURGARTH D, 2015, NAT COMPUT","14","2.3333"
"KOTIYAL S, 2015, J SUPERCOMPUT","14","2.3333"
"WITTEK P, 2015, ACM TRANS MATH SOFTWARE","14","2.3333"
"ROETTELER M, 2015, INF PROCESS LETT","14","2.3333"
"TAKAHASHI K, 2014, NEUROCOMPUTING","14","2.0000"
"SAITOH A, 2014, QUANTUM INF PROCESS","14","2.0000"
"RUAN Y, 2014, JISUANJI XUEBAO","14","2.0000"
"ALFAILAKAWI M, 2013, QUANTUM INF PROCESS","14","1.7500"
"DEUBLEIN S, 2013, MOL SIMUL","14","1.7500"
"LI S, 2012, J COMPUT PHYS","14","1.5556"
"CHEN W, 2010, J THEOR COMPUT CHEM-a","14","1.2727"
"COECKE B, 2008, ELECTRON NOTES THEOR COMPUT SCI-a","14","1.0769"
"DAMJANOVI A, 2008, J CHEM INF MODEL","14","1.0769"
"MA X, 2008, ACM J EMERG TECHNOLOGIES COMPUT SYST","14","1.0769"
"BERNSTEIN HJ, 2006, QUANTUM INF PROCESS","14","0.9333"
"KUSTANOWITZ J, 2006, IEEE MULTIMEDIA","14","0.9333"
"CANCS, 2006, J COMPUT PHYS","14","0.9333"
"YEPEZ J, 2005, QUANTUM INF PROCESS-a","14","0.8750"
"MEDVEDEV DM, 2005, COMPUT PHYS COMMUN","14","0.8750"
"DUNLAP BI, 2005, COMPUT PHYS COMMUN","14","0.8750"
"CURIONI A, 2004, J COMP -AIDED MOL DES","14","0.8235"
"CHEN XH, 2004, J THEOR COMPUT CHEM","14","0.8235"
"ASPNES J, 2002, J ALGORITHMS","14","0.7368"
"DRR C, 2002, SIAM J COMPUT","14","0.7368"
"HOGG T, 1999, INT J MOD PHYS C","14","0.6364"
"LAGAN A, 1999, COMPUT PHYS COMMUN","14","0.6364"
"ARNEODO M, 1997, COMPUT PHYS COMMUN","14","0.5833"
"SHI C, 2018, COMPUT MATER CONTINUA","13","4.3333"
"ASSARAF R, 2017, J CHEM THEORY COMPUT","13","3.2500"
"BISWAS R, 2017, PARALLEL COMPUT","13","3.2500"
"JIANG Z, 2017, QUANTUM INF PROCESS","13","3.2500"
"ZHANG C, 2015, J CHEM THEORY COMPUT","13","2.1667"
"CHEN CY, 2015, IEEE NETWORK","13","2.1667"
"WANG X, 2015, NPJ QUANTUM INF","13","2.1667"
"YING L, 2015, MULTISCALE MODEL SIMUL","13","2.1667"
"BOORGHANY A, 2015, ACM TRANS EMBEDDED COMPUT SYST","13","2.1667"
"NOMURA KI, 2015, COMPUT PHYS COMMUN","13","2.1667"
"MONTANARO A, 2015, ALGORITHMICA","13","2.1667"
"AARONSON S, 2014, THEORY COMPUT","13","1.8571"
"ZHENG S, 2014, RAIRO THEOR INF APPL","13","1.8571"
"GOUDARZI H, 2014, QUANTUM INF PROCESS","13","1.8571"
"LIU F, 2013, J MANUF SYST","13","1.6250"
"IMRE S, 2013, IEEE COMMUN MAG","13","1.6250"
"FENG Y, 2012, ACM TRANS PROGRAM LANG SYST","13","1.4444"
"CAWKWELL MJ, 2012, J CHEM THEORY COMPUT","13","1.4444"
"YIGIT S, 2012, J ARTIF INTELL","13","1.4444"
"KARIMI K, 2012, QUANTUM INF PROCESS","13","1.4444"
"MISZCZAK JA, 2012, COMPUT PHYS COMMUN","13","1.4444"
"ARPAIA P, 2011, APPL SOFT COMPUT J","13","1.3000"
"MASINI A, 2011, J MULT -VALUED LOGIC SOFT COMPUT","13","1.3000"
"LI HZ, 2011, INT J MOL SCI","13","1.3000"
"JAIN R, 2010, COMMUN ACM","13","1.1818"
"LI P, 2010, NEURAL NETWORK WORLD","13","1.1818"
"AMBAINIS A, 2010, THEORY COMPUT SYST","13","1.1818"
"SPEDALIERI FM, 2009, QUANTUM INF COMPUT","13","1.0833"
"HWANG RH, 2009, IEEE PERVASIVE COMPUT","13","1.0833"
"JORDAN SP, 2009, QUANTUM INF COMPUT","13","1.0833"
"SPECTOR L, 2008, ARTIF INTELL ENG DES ANAL MANUF","13","1.0000"
"TAKAHASHI Y, 2008, QUANTUM INF COMPUT","13","1.0000"
"JULI-DAZ B, 2006, COMPUT PHYS COMMUN","13","0.8667"
"SCOTT GE, 2005, J CHEM THEORY COMPUT","13","0.8125"
"YAMASAKI T, 2005, THEOR COMPUT SCI","13","0.8125"
"GUSEINOV I, 2003, J MOL MODEL-a-b","13","0.7222"
"ECHTERNACH P, 2001, QUANTUM INF COMPUT","13","0.6500"
"GLASSNER A, 2001, IEEE COMPUT GRAPHICS APPL","13","0.6500"
"AMBAINIS A, 1999, INF PROCESS LETT","13","0.5909"
"MEZEY PG, 1994, J CHEM INF COMPUT SCI","13","0.4815"
"LU HH, 2019, NPJ QUANTUM INF","12","6.0000"
"GHEORGHIU A, 2019, THEORY COMPUT SYST","12","6.0000"
"HADFIELD S, 2019, ALGORITHMS","12","6.0000"
"DANILIN S, 2018, NPJ QUANTUM INF","12","4.0000"
"SURYANARAYANA P, 2018, COMPUT PHYS COMMUN","12","4.0000"
"PROVAZZA J, 2018, J CHEM THEORY COMPUT","12","4.0000"
"BROADBENT A, 2018, THEORY COMPUT","12","4.0000"
"CHAN B, 2017, J CHEM THEORY COMPUT","12","3.0000"
"MICHIELSEN K, 2017, COMPUT PHYS COMMUN","12","3.0000"
"PORTMANN C, 2017, IEEE TRANS INF THEORY","12","3.0000"
"PAVITHR RS, 2016, SWARM EVOL COMPUT","12","2.4000"
"UNRUH D, 2015, J ACM","12","2.0000"
"HADDAR B, 2015, EXPERT SYS APPL","12","2.0000"
"CHIKOUCHE N, 2015, INT J NETW SECUR","12","2.0000"
"DJELLOUL H, 2015, INT J BIO-INSPIRED COMPUT","12","2.0000"
"KARAFYLLIDIS IG, 2014, IEEE TRANS NANOTECHNOL","12","1.7143"
"BOJANOVA I, 2014, IT PROF","12","1.7143"
"BILBREY JA, 2013, J CHEM THEORY COMPUT","12","1.5000"
"ANDERSON NG, 2012, NANO COMMUN NETW","12","1.3333"
"ZHANG J, 2012, INT J DIGIT CONTENT TECHNOL APPL","12","1.3333"
"AUCKENTHALER T, 2011, J COMPUT SCI","12","1.2000"
"CHILDS AM, 2011, QUANTUM INF COMPUT","12","1.2000"
"SARKAR K, 2010, J CHEM THEORY COMPUT","12","1.0909"
"QIU D, 2009, THEOR COMPUT SCI","12","1.0000"
"HASTINGS MB, 2009, QUANTUM INF COMPUT","12","1.0000"
"ROSS M, 2008, COMMUN ACM","12","0.9231"
"FARMANZADEH D, 2008, J MOL MODEL","12","0.9231"
"MGE I, 2005, CHEMOMETR INTELLIGENT LAB SYST","12","0.7500"
"LIM SK, 2005, ACM J EMERG TECHNOLOGIES COMPUT SYST","12","0.7500"
"RAMOS RV, 2003, J COMPUT PHYS","12","0.6667"
"RAMESH H, 2003, J DISCRETE ALGORITHMS","12","0.6667"
"DYEKJR JD, 2002, J MOL MODEL","12","0.6316"
"DYKMAN MI, 2001, QUANTUM INF COMPUT","12","0.6000"
"HOGG T, 1996, J ARTIF INTELL RES","12","0.4800"
"PARAMONOV LE, 1995, J OPT SOC AM A","12","0.4615"
"VAN METTER R, 1986, PROC SPIE INT SOC OPT ENG","12","0.3429"
"EL-LATIF AAA, 2019, FUTURE GENER COMPUT SYST","11","5.5000"
"QUINTAS-SNCHEZ E, 2019, J CHEM INF MODEL","11","5.5000"
"VARADWAJ PR, 2018, COMPUTATION","11","3.6667"
"MOAIYERI MH, 2018, MICROSYST TECHNOL","11","3.6667"
"SHARMA G, 2018, PEER-TO-PEER NETW APPL","11","3.6667"
"HU W, 2018, NEURAL COMPUT APPL","11","3.6667"
"KUO SY, 2017, IEEE ACCESS","11","2.7500"
"SINGH G, 2017, MICROPROCESSORS MICROSYST","11","2.7500"
"KONG W, 2016, NEUROCOMPUTING","11","2.2000"
"KRANZ JJ, 2016, J CHEM THEORY COMPUT","11","2.2000"
"MAILLOUX LO, 2016, IT PROF","11","2.2000"
"BOGNER C, 2016, COMPUT PHYS COMMUN","11","2.2000"
"ROBSON B, 2016, COMPUT BIOL MED","11","2.2000"
"LIU J, 2016, J CHEM THEORY COMPUT","11","2.2000"
"LEE YH, 2016, INT J RECONFIGURABLE COMPUT","11","2.2000"
"LIANG M, 2015, QUANTUM INF PROCESS","11","1.8333"
"AKHER FB, 2015, J MOL GRAPH MODEL","11","1.8333"
"CHIEN CH, 2015, ACM J EMERG TECHNOLOGIES COMPUT SYST","11","1.8333"
"SUCHARA M, 2015, QUANTUM INF COMPUT","11","1.8333"
"CAO GL, 2015, JISUANJI JICHENG ZHIZAO XITONG","11","1.8333"
"MORONI S, 2014, J CHEM THEORY COMPUT","11","1.5714"
"LI J, 2014, J CHEM THEORY COMPUT","11","1.5714"
"ERCAN I, 2013, IEEE TRANS NANOTECHNOL","11","1.3750"
"KUMAR V, 2013, COMPUT INF","11","1.3750"
"HILL CD, 2013, QUANTUM INF COMPUT","11","1.3750"
"CHOU YH, 2012, IET CONTROL THEORY APPL","11","1.2222"
"NIE R, 2011, INT J DIGIT CONTENT TECHNOL APPL","11","1.1000"
"IDE Y, 2011, QUANTUM INF COMPUT","11","1.1000"
"MOHAMMADI M, 2011, QUANTUM INF PROCESS","11","1.1000"
"TRUPKE M, 2011, PROG INFORMATICS","11","1.1000"
"GAO H, 2011, KONGZHI YU JUECE CONTROL DECIS","11","1.1000"
"RAMDANE C, 2010, INT J DATA MODEL MANAGE","11","1.0000"
"LIU D, 2010, J SOFTW","11","1.0000"
"DAI J, 2010, ACM J EMERG TECHNOLOGIES COMPUT SYST","11","1.0000"
"YIN B, 2010, J MOL MODEL","11","1.0000"
"KLIMECK G, 2010, COMPUT SCI ENG","11","1.0000"
"HUANG BH, 2010, XI'AN DIANZI KEJI DAXUE XUEBAO","11","1.0000"
"AMBAINIS A, 2009, ALGORITHMICA (NEW YORK)","11","0.9167"
"LI ZQ, 2009, JISUANJI XUEBAO","11","0.9167"
"LI L, 2009, THEOR COMPUT SCI","11","0.9167"
"GEPP A, 2009, GENET PROGRAM EVOLVABLE MACH","11","0.9167"
"SHU W, 2009, INT J DISTRIB SENS NETW","11","0.9167"
"WANG ZF, 2009, ACM J EMERG TECHNOLOGIES COMPUT SYST","11","0.9167"
"CONG H, 2007, J MOL MODEL","11","0.7857"
"ELRON N, 2007, IEEE TRANS INF THEORY","11","0.7857"
"IMRE S, 2007, IEEE TRANS COMPUT","11","0.7857"
"QIU D, 2007, SCI CHINA SER F INF SCI","11","0.7857"
"KOWADA LAB, 2006, J UNIVERS COMPUT SCI","11","0.7333"
"GRIGORENKO BL, 2005, J MOL MODEL","11","0.6875"
"ISAILOVIC N, 2004, ACM TRANS ARCHIT CODE OPTIM","11","0.6471"
"HAYES TP, 2002, ALGORITHMICA (NEW YORK)","11","0.5789"
"BOROWSKI S, 2002, COMPUT PHYS COMMUN","11","0.5789"
"GLASSNER A, 2001, IEEE COMPUT GRAPHICS APPL-a","11","0.5500"
"XIA PS, 2001, JISUANJI YANJIU YU FAZHAN","11","0.5500"
"ROZIER RG, 1997, J PARALLEL DISTRIB COMPUT","11","0.4583"
"TISZAUER DH, 1991, COMPUT PHYS COMMUN","11","0.3667"
"TAKEUCHI Y, 2019, NPJ QUANTUM INF","10","5.0000"
"TAKEDA S, 2019, APL PHOTONICS","10","5.0000"
"LI CY, 2019, IEEE ACCESS","10","5.0000"
"LIU Z, 2018, IEEE ACCESS","10","3.3333"
"BAZOW D, 2018, COMPUT PHYS COMMUN","10","3.3333"
"CURUTCHET C, 2018, J CHEM THEORY COMPUT","10","3.3333"
"MAVROEIDIS V, 2018, INTL J ADV COMPUT SCI APPL","10","3.3333"
"YAN F, 2017, QUANTUM INF PROCESS","10","2.5000"
"ZHANG J, 2017, SIGNAL PROCESS","10","2.5000"
"CHOUGULE PP, 2017, MICROPROCESSORS MICROSYST","10","2.5000"
"BUTIN D, 2017, IEEE SECUR PRIVACY","10","2.5000"
"NAZAROV AE, 2017, COMPUT PHYS COMMUN","10","2.5000"
"KONAR D, 2016, APPL SOFT COMPUT J","10","2.0000"
"ARORA S, 2016, J ACM","10","2.0000"
"STRAWN G, 2015, IT PROF","10","1.6667"
"CUI Y, 2015, NEURAL NETW","10","1.6667"
"ZALESNY R, 2015, J CHEM THEORY COMPUT","10","1.6667"
"BOTSINIS P, 2015, IEEE ACCESS","10","1.6667"
"ZHENG S, 2015, INF COMPUT","10","1.6667"
"QIU D, 2015, J COMPUT SYST SCI","10","1.6667"
"SHARMA A, 2014, J MOL MODEL","10","1.4286"
"TAO F, 2014, SIMULATION","10","1.4286"
"IMRE S, 2014, COMPUT ELECTR ENG","10","1.4286"
"BERRY DW, 2014, QUANTUM INF COMPUT","10","1.4286"
"VARINI N, 2013, COMPUT PHYS COMMUN","10","1.2500"
"AMIN MHS, 2013, QUANTUM INF PROCESS","10","1.2500"
"WITTEK P, 2013, J COMPUT PHYS","10","1.2500"
"UTSUNO Y, 2013, COMPUT PHYS COMMUN","10","1.2500"
"BROIN C, 2012, COMPUT PHYS COMMUN","10","1.1111"
"LIU YM, 2011, INT J COMPUT SCI ENG","10","1.0000"
"BOEYENS JCA, 2010, INT J MOL SCI","10","0.9091"
"HAN WW, 2009, J MOL MODEL","10","0.8333"
"KENDON V, 2008, THEOR COMPUT SCI","10","0.7692"
"NIELSEN IMB, 2008, SCI PROGRAM","10","0.7692"
"TOMOV S, 2006, INT J COMPUT SCI ENG","10","0.6667"
"BLATT R, 2004, QUANTUM INF PROCESS","10","0.5882"
"CHENG L, 2003, J MOL MODEL","10","0.5556"
"AARONSON S, 2003, QUANTUM INF COMPUT","10","0.5556"
